Scats,longitude,latitude,location
2519,144.85983400042,-37.8138159987431,PHW/CEMETERY
3644,145.083548999783,-37.9539469987805,KINGSTON/BALL/ST ANDREWS
6451,142.165885999542,-34.2314169992389,CALDER HWY/KARADOC
4108,145.004653000165,-37.8777409987372,GLEN EIRA NR ST GEORGES
2464,145.000155000282,-37.8005449991581,JOHNSTON O/H LANE E TRENERRY 14
6075,145.398849999948,-36.3831459987059,GVH (WYNDHAM) / VAUGHAN
2589,144.771016999495,-37.7100609993861,HUME DRIVE/COPPERFIELD
3759,144.884737999702,-37.8448009989723,NORTH NR HALL
1153,145.348147999639,-38.0302399989481,WHEELER NR WILSON
1155,145.240272000418,-37.9946169995099,HAWTHORN NR AUTUMN
1102,145.216982999433,-37.8323839990689,CANTERBURY/EASTLINK
1103,145.211129999758,-37.8612089990961,BURWOOD HWY/EASTLINK
1104,145.216330999792,-37.8461749986876,BORONIA/EASTLINK
1123,145.287316999613,-37.8320979995404,DORSET/CLIPSAL
1107,145.214385000045,-37.9035419995187,FERNTREE GULLY/EASTLINK
1181,145.197495000078,-37.9679199989572,HEATHERTON/LINK
5218,144.394306000269,-38.171402998688,BELLARINE HWY NR NELSON
5219,144.347271999846,-38.181856999118,CORIO-WAURN PONDS(SETTLEMENT) NR FRANCIS
2635,144.835906000063,-37.7890009987069,MONASH NR WHITTY
886,145.266233999432,-37.7899889987966,MAROONDAH NR RYLAND
2636,144.796278999477,-37.7007369991471,MELTON HWY/VERONA
2637,144.786380000287,-37.6985789991998,MELTON HWY/PARMELIA
2638,144.781239000192,-37.6974509989151,MELTON HWY/KINGS
2639,144.778268000376,-37.6968179991557,MELTON HWY/SHOPPING CENTRE ENT 2
2640,144.774555999819,-37.6958819990671,MELTON HWY/MCCUBBIN
6315,144.699465999574,-36.3617759991922,NORTHERN HWY BTN FRASER/GILLIES
4729,144.946529999814,-37.8410129990319,PICKLES/LIARDET/RICHARDSON
3525,144.896361999621,-37.8587379993046,FERGUSON BTW LYONS/BATH
4528,144.975676000265,-37.8184989989882,BATMAN/MELB PARK NTH ACCESS
4529,144.976385000459,-37.8184059994474,MELBOURNE PARK NTH ACCESS/FED SQ ACCESS
5114,144.324397000069,-38.1715159993393,BARRABOOL/BELLE VUE
572,145.531403999989,-37.7803059987485,WARBURTON/HEALESVILLE-KOO WEE RUP
530,145.321917000455,-38.0281799987439,MONASH/PHE
5027,144.366359999457,-38.1535079991426,MYERS/SWANSTON
517,145.180801999939,-38.1155589991172,BALLARTO NR GREENWOOD
3868,144.992663999459,-37.8178489994401,BRIDGE NR VERITY
962,145.140311000463,-37.9411469986939,WESTALL/ROSEBANK
3664,145.045575000176,-37.8420949989057,TOORONGA NR BETHUNE
2181,144.950588000155,-37.6380509990564,HUME/AUSTRAK
3145,145.106965999661,-37.9719679993453,CENTRE DANDENONG/CHIFLEY
595,145.201757000465,-38.0130159990158,GREENS/SOUTH PARK DEVELOPMENT ACCESS
6654,146.408926000242,-38.2398059991682,PRINCES/VINCENT
3949,145.004787000385,-37.8974989992588,MARTIN NR SPINK
3188,145.362840999457,-38.0816379991481,Soldiers Rd/ Viewbright Rd/ Skylark Blvd
3147,145.11788500033,-37.9876739991952,LOWER DANDENONG/WOODLANDS
767,145.285771999768,-37.8597839988727,DORSET/CHANDLER
3394,144.98813400028,-37.8288649989029,MONASH ON RAMP NR PUNT
316,145.11007799973,-37.7822109991112,HIGH NR VILLAGE
2043,145.132725999539,-37.7871909992909,DONCASTER/WHITTENS
6069,145.409574999846,-36.3990329989022,ARCHER/WILMOT/POPLAR
365,145.185861999435,-37.8765029986985,HIGH ST RD/CAPITAL
490,145.207326000043,-37.9566449987245,GLADSTONE/HALTON
966,145.241384999846,-37.9774469993019,POWER NR MONASH FWY
2595,144.744229999919,-37.691937998686,MELTON HWY/GOURLAY
2050,144.832818999854,-37.7545969995113,MCINTYRE/WHITEHILL
2808,145.047362999634,-37.6624899993887,CHILDS/PRINCE OF WALES
2809,145.060683000477,-37.667952999157,CHILDS/BETULA
3241,145.014113999543,-37.7537229988194,VICTORIA/DUNDAS
491,145.160413999922,-37.9189019988283,WELLINGTON/COLES MYER HOUSE
394,145.460130000424,-38.0630009987473,PHE/DOHERTY
4512,144.960867000424,-37.8092499987412,ELIZABETH/A'BECKETT
