OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,geometry
49569,,,1356,PHE (LONSDALE)  NR  LANGHORNE,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.214258999792 -37.9867889987181)
49570,,,1357,PHE(LONSDALE) NR PULTNEY,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.214517999678 -37.9892999995623)
49571,,,5175,JETTY/WYNDHAM,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,POINT (144.552587999753 -38.1718549995301)
49572,,,1358,BAY/WESTERN ACCESS,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.036659000021 -37.9556169995008)
49573,,,5329,RIVERSDALE ROAD EAST OF WESTBOURNE GROVE,POS,,,,,,,,OPERATIONAL,"RAIL LNK,UPS",,,,POINT (145.069250000057 -37.8327999990781)
49574,,,1589,WELLS ST NEAR MALE ST,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.996030999899 -37.9080159992575)
49575,,,1434,Dohertys Road/Forsyth Road,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.730638999652 -37.8234449995625)
49576,,,1423,Narre Warren North Road /  Fox Road,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.313499999768 -37.9933169991826)
49577,,,5328,OLD GEELONG ROAD/ FORSYTH ROAD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.734513999445 -37.8689309989819)
49578,,,969,GLADSTONE/PERKIN/GATEWAY,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.204156999942 -37.9734819993482)
49579,,,834,POINT NEPEAN/MARINE,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,,POINT (144.973501999465 -38.3285059991537)
49580,,,2218,STATION NR WOOD,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (145.17679700017 -37.8205139991334)
49581,,,3974,WESTGATE FWY/MONTAGUE WB ON RAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (144.946988999843 -37.8265899992953)
49582,,,1270,M80 GB WESTERN HWY ONRAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (144.797789000357 -37.768171999478)
49583,,,1271,M80 GB FURLONG RD ONRAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (144.82202199952 -37.7585289992833)
49584,,,1275,M80 GB AIRPORT DRIVE ONRAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (144.87646299948 -37.7145499994381)
49585,,,1276,M80 GB MELROSE DRIVE ONRAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (144.887028000535 -37.7057809987713)
49586,,,1284,M80 AB SYDNEY RD ONRAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (144.958630999691 -37.6919509994119)
49587,,,1285,M80 AB PASCOE VALE RD ONRAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (144.91268199965 -37.6944899993002)
49588,,,1287,M80 AB AIRPORT DR ONRAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (144.874034000522 -37.7170329989397)
49589,,,1145,CRANBOURNE/CLARENDON,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.133352000124 -38.1464089993116)
49590,,,40191,WGF/INGLES (EB) - C,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.93704999985 -37.8252449991449)
49591,,,40192,WGF/INGLES (EB) - D,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.937050000152 -37.8252459992553)
49592,,,40193,WGF EAST OF INGLES (WB) - A,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.93913600034 -37.8257279993858)
49593,,,40194,WGF EAST OF INGLES (WB) - B,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.93913600034 -37.8257279993858)
49594,,,40195,WGF EAST OF INGLES (WB) - C,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.93913600034 -37.8257279993858)
49595,,,40196,WGF EAST OF INGLES (WB) - D,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.937050000152 -37.8252459992553)
49596,,,40197,WGF ON WSTRN LK NR LORIMER (EB) - A,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.9424079996 -37.8254509987047)
49597,,,1278,M80 GB EDGARS RD ONRAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (145.007283000068 -37.6861709989438)
49598,,,1279,M80 GB DALTON RD ONRAMP,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (145.029087999442 -37.6867419991718)
49599,,,1347,JOHN/JAMES,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.482877999568 -38.076991999243)
49600,,,1352,EPSOM/DONCASTER/MIRAMS,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.911055999703 -37.7767189990746)
49601,,,1364,BAY RD NR FERNHILL RD,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.008231999829 -37.9523019987295)
49602,,,1943,WARRS RD NR HIGHPOINT SC EASTERN ACCESS,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.891476000065 -37.7745779993351)
49603,,,5185,PHE/REEVE/PARK,INT,,,,,,,,OPERATIONAL,,,,,POINT (147.061300000257 -38.111573999557)
49604,,,1408,Monash/Narre Warren OB,RAMP MTR,,,,,,,,OPERATIONAL,,,,,POINT (145.310414999787 -38.0187549990483)
49605,,,6003,Welsford Street / Nixon Street,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.398749999851 -36.3767599991701)
49606,,,177,BURWOOD HWY/DORSET,INT,,,,,,,,OPERATIONAL,"Bluetooth,UPS",,,,POINT (145.284255999742 -37.8858249995644)
49607,,,1387,HIGHETT/TRAIN,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.040607999882 -37.9485939993221)
49608,,,3672,DIMBOOLA/MAIN,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.914131999471 -37.6812459995095)
49609,,,1524,HALLAM NR COMMERCE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (145.267551000378 -38.0335869988354)
49610,,,3130,CANTERBURY/ELGAR,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth,RLC",,,,POINT (145.112890999739 -37.8277199988103)
49611,,,1532,FORSYTH BETWEEN FEDERATION AND WATERWAYS,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.730607999963 -37.8580779991897)
49612,,,1533,MORRIS BETWEEN BELLBRIDGE AND LOXLEY,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.704447000227 -37.8609989992594)
49613,,,1534,CRAIGIEBURN / LYGON,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.917607000389 -37.5963479994575)
49614,,,1547,HALL RD/EASTWOOD BLVD/ATLAS DR,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.23771499978 -38.1074629994998)
49615,,,3002,BARKERS/DENMARK/POWER,INT,,,,,,,,OPERATIONAL,"Bluetooth,PARTFCRT,SRLC",,,,POINT (145.027884000049 -37.8136479989286)
49616,,,6312,MURRAY VALLEY HWY / POWELL DRV,INT,,,,,,,,OPERATIONAL,RADOUT,,,,POINT (146.924092999449 -36.1454839988896)
49617,,,3670,FURLONG NR BOND,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (144.809253999635 -37.7600139994822)
49618,,,1215,POINT COOK/SALTWATER,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.751810999991 -37.9099279994142)
49619,,,1531,BERWICK-CRANBOURNE /ARBOURLEA,INT,,,,,,,,OPERATIONAL,"METER,PUFFIN",,,,POINT (145.333897999436 -38.082371998837)
49620,,,1399,PALMERS/PFW IB ON RAMP,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.748159999501 -37.8700599986965)
