scat_number,school_count,long,lat
445.0,0.0,145.30110999983,-38.0222799991667
308.0,0.0,144.830858999615,-38.3710649991373
4515.0,0.0,144.945934000412,-37.8147289993986
5048.0,0.0,144.36455499962,-38.1451429989885
4527.0,0.0,144.947160999909,-37.8135519989561
3417.0,1.0,144.968773999455,-37.7972929992047
539.0,0.0,145.14612100029,-37.8951759987867
3409.0,0.0,144.985044999979,-37.8241459990201
5238.0,0.0,144.708581000006,-37.8787509992071
6334.0,2.0,145.355925000506,-36.3924319995481
6409.0,0.0,142.196254000189,-36.7104959994908
2661.0,0.0,144.566338000542,-37.6942909988812
2659.0,0.0,144.797384999862,-37.7280369987712
6681.0,0.0,145.530272999501,-38.4075329988001
5834.0,0.0,143.840978999977,-37.5866029989992
5835.0,2.0,143.841073000114,-37.5992809990051
399.0,0.0,145.340419999855,-38.0492599992772
3211.0,0.0,145.136360999705,-37.9288049987876
4557.0,0.0,144.976220000226,-37.8203829993004
3548.0,1.0,144.994699000537,-37.9142019988828
3547.0,1.0,144.992335000252,-37.9121249987111
2648.0,2.0,144.831715000264,-37.7864179989531
389.0,0.0,145.369967000457,-37.7513389988431
402.0,2.0,145.165052000531,-37.8785399992328
3837.0,0.0,145.06491599992,-37.8267039989548
158.0,0.0,145.279466000253,-37.8288049994386
3009.0,0.0,144.989563999445,-37.8865739988005
2646.0,0.0,144.567553000376,-37.6875769989394
4637.0,0.0,145.056825000501,-37.9593309987025
588.0,1.0,145.280456000209,-37.7948799994573
6250.0,1.0,144.266885000016,-36.7357029994071
6251.0,2.0,144.288514999933,-36.7524129993206
2182.0,2.0,144.928266999868,-37.6305679991599
2813.0,0.0,144.962813999664,-37.6450669993421
2059.0,0.0,144.789754999949,-37.7631659988575
3242.0,0.0,145.080122000566,-37.6562699992764
2677.0,0.0,144.84934499993,-37.7672839988538
5659.0,1.0,147.624405999604,-37.8276829993053
2893.0,0.0,144.848636000029,-37.8289169993297
3524.0,3.0,144.93028400055,-37.7882449992543
3485.0,0.0,144.783231000509,-37.844333998925
509.0,1.0,145.293147000205,-38.0016459991667
398.0,1.0,145.271347999599,-38.0741149992005
5271.0,2.0,144.72687399963,-37.8523329989301
3723.0,0.0,145.1426630002,-37.8947609994373
5609.0,1.0,147.068247999711,-38.0964379993505
391.0,0.0,145.23516599967,-37.9022259987259
756.0,0.0,145.139249999662,-38.1737279988376
2792.0,1.0,145.031103999551,-37.6730549994434
1046.0,1.0,144.95971199963,-37.7821279988051
